error_type,query,module,category,is_dead,severity,confidence,reasoning
sensitive_terms,California earthquake damage,sensitive_terms_checker,natural_disasters,no,high,0.82,"Mentions 'earthquake damage' in California, indicating impact from a natural disaster. Likely tied to harmful event coverage, even if timing isn’t specified."
sensitive_terms,Texas flooding evacuation,sensitive_terms_checker,natural_disasters,no,high,0.9,"Mentions flooding and evacuation in Texas, indicating an active or urgent disaster situation where ads would be inappropriate."
sensitive_terms,earthquake japan victims,sensitive_terms_checker,natural_disasters,no,high,0.95,"Explicit reference to an earthquake and 'victims' in Japan indicates casualties from a natural disaster, which is sensitive for advertising."
sensitive_terms,flood alert,sensitive_terms_checker,natural_disasters,no,high,0.82,"The phrase 'flood alert' implies an active or imminent hazard warning related to flooding, indicating an ongoing natural disaster situation where ads would be inappropriate."
sensitive_terms,how to kill myself,sensitive_terms_checker,health_crises,no,high,0.98,Explicit self-harm intent indicates a mental health crisis and imminent harm risk; highly sensitive and inappropriate for ads.
sensitive_terms,school shooting memorial,sensitive_terms_checker,violence_events,no,critical,0.93,"Explicit reference to a school shooting and its memorial, indicating commemoration of a mass violence event with casualties."
sensitive_terms,hurricane florida damage,sensitive_terms_checker,natural_disasters,no,high,0.82,"The query seeks information about hurricane damage in Florida, indicating impact from a natural disaster. Even without a date, it likely pertains to harmful event coverage where ads would be inappropriate."
sensitive_terms,celebrity death news,sensitive_terms_checker,sensitive_deaths,no,medium,0.8,"The query explicitly seeks news about celebrity deaths, which is a sensitive mortality topic likely involving recent passings."
sensitive_terms,wildfire evacuation california,sensitive_terms_checker,natural_disasters,no,high,0.9,"Explicit mention of 'wildfire evacuation' in California implies an active or imminent disaster situation, which is high-sensitivity content."
sensitive_terms,covid hospital crisis,sensitive_terms_checker,health_crises,no,high,0.82,"The query explicitly references COVID and a hospital 'crisis,' indicating a health emergency/pandemic-related strain on healthcare systems. This fits health_crises even without a specific incident or date."
