error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
SA blocklist,sophie cunningham's swimsuit photo,peopleAlsoAsk,Does Sophia Cunningham have an off-day Bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,soleil moon frye,gossip,soleil moon frye breast reduction,breast,sexual_or_explicit,no,,,
SA blocklist,soleil moon frye,alsoTrySouth,soleil moon frye breast reduction,breast,sexual_or_explicit,no,,,
SA blocklist,wednesday season 2 cast,gossip,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTrySouth,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTryEast,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,thiago seyboth wild,gossip,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,thiago seyboth wild,alsoTryEast,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,a knight's war,gossip,a knight's war torrent,torrent,illegal_activities,no,,,
SA blocklist,100 tula para kay stella full movie,gossip,100 tula para kay stella full movie download torrent,torrent,illegal_activities,no,,,
SA blocklist,100 tula para kay stella full movie,alsoTryEast,100 tula para kay stella full movie download torrent,torrent,illegal_activities,no,,,
SA blocklist,yahoo search,alsoTrySouth,remove yahoo search,remove yahoo,platform_circumvention,no,,,
SA blocklist,stormy daniels,alsoTrySouth,stormy daniels youtube bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,brawl in cell block 99,gossip,brawl in cell block 99 torrent,torrent,illegal_activities,no,,,
SA blocklist,natalya neidhart,gossip,natalya neidhart breast implants,breast,sexual_or_explicit,no,,,
SA blocklist,natalya neidhart,alsoTrySouth,natalya neidhart breast implants,breast,sexual_or_explicit,no,,,
SA blocklist,natalya neidhart,alsoTryEast,natalya neidhart breast implants,breast,sexual_or_explicit,no,,,
SA blocklist,the newsroom season 1 ep 1,alsoTrySouth,the newsroom season 1 torrent,torrent,illegal_activities,no,,,
SA blocklist,dakota johnson,peopleAlsoAsk,Did Dakota Johnson wear a bikini with Kate Hudson?,bikini,sexual_or_explicit,no,,,
death check,brandon blackstock,context,"The term ""brandon blackstock"" is likely trending right now because he recently died at age 48 after battling cancer.",death_pattern,recent_death,yes,,,
death check,kelly clarkson,context,"The term ""kelly clarkson"" is likely trending because her ex-husband, Brandon Blackstock, has died at age 48 after a private battle with cancer.",death_pattern,recent_death,yes,,,
death check,reba mcentire's son,context,"The term is likely trending because Brandon Blackstock, Reba McEntire's son and Kelly Clarkson's ex-husband, has died.",death_pattern,recent_death,yes,,,
death check,kelley mack,context,"The term ""kelley mack"" is likely trending because the actress, known for her role in ""The Walking Dead,"" has died at age 33 from complications related to glioma.",death_pattern,recent_death,yes,,,
death check,kelly clarkson husband,context,"The term is trending because Kelly Clarkson's ex-husband, Brandon Blackstock, has died at age 48 after a battle with cancer.",death_pattern,recent_death,yes,,,
death check,brandon blackstock death,context,"The term is likely trending because Brandon Blackstock, Kelly Clarkson's ex-husband, has died after battling cancer.",death_pattern,recent_death,yes,,,
death check,blake shelton,context,"The term ""blake shelton"" is likely trending because Brandon Blackstock, Kelly Clarkson's ex-husband and Blake Shelton's former manager, has died at age 48 after a cancer battle.",death_pattern,recent_death,yes,,,
death check,brandon blackstock cancer,context,"The term is likely trending because Brandon Blackstock, Kelly Clarkson’s ex-husband, has died at age 48 after a secret battle with melanoma skin cancer.",death_pattern,recent_death,yes,,,
death check,brooke hogan,context,"The term ""brooke hogan"" is likely trending because she did not attend her father Hulk Hogan's funeral and has publicly explained her reasons for doing so.",death_pattern,recent_death,yes,,,
relevance,crusaders vs reds,kgBrowseSports,"query is crusaders vs reds, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
relevance,crusaders vs reds highlights,kgBrowseSports,"query is crusaders vs reds highlights, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
missing_tabs,chamionship,kgBrowseSports,,,missing modules,no,,,
relevance,cleveland browns general manager news,kgBrowseSports,"query is cleveland browns general manager news, but kgBrowseSports title is Cleveland Browns",irrelevant,off topic,no,,,
relevance,coastal carolina basketball schedule 2025-2026,kgBrowseSports,"query is coastal carolina basketball schedule 2025-2026, but kgBrowseSports title is Coastal Carolina Chanticleers football",irrelevant,off topic,no,,,
relevance,colts daniel jones,kgBrowseSports,"query is colts daniel jones, but kgBrowseSports title is Daniel Jones",irrelevant,off topic,no,,,
relevance,leagues cup scores tigres vs,kgBrowseSports,"query is leagues cup scores tigres vs, but kgBrowseSports title is Tigres UANL",irrelevant,off topic,no,,,
relevance,mlb ballpark,kgBrowseSports,"query is mlb ballpark, but kgBrowseSports title is Major League Baseball",irrelevant,off topic,no,,,
relevance,mlb shop official online store,kgBrowseSports,"query is mlb shop official online store, but kgBrowseSports title is Major League Baseball",irrelevant,off topic,no,,,
relevance,2025 nhl entry draft wikipedia,kgBrowseSports,"query is 2025 nhl entry draft wikipedia, but kgBrowseSports title is National Hockey League",irrelevant,off topic,no,,,
relevance,australia vs england,kgBrowseSports,"query is australia vs england, but kgBrowseSports title is England national football team",irrelevant,off topic,no,,,
relevance,2025+nba+finals,kgBrowseSports,"query is 2025+nba+finals, but kgBrowseSports title is National Basketball Association",irrelevant,off topic,no,,,
relevance,brandon blackstock death,peopleAlsoAsk,How old was Seth Blackstock when he died?,llm_irrelevant,off_topic,no,,,
relevance,xyz stock,peopleAlsoAsk,What is block XYZ?,llm_irrelevant,off_topic,no,,,
relevance,cincinnati open,peopleAlsoAsk,When is the Cincinnati Reds' Opening Day?,llm_irrelevant,off_topic,no,,,
relevance,ashes,peopleAlsoAsk,What movies did ash ash appear in?,llm_irrelevant,off_topic,no,,,
relevance,ohio state qb news,peopleAlsoAsk,What happened to Pittsburgh Steelers QB will Howard?,llm_irrelevant,off_topic,no,,,
relevance,google what is the score of the phillies game,peopleAlsoAsk,Do Phillies receive compensation if I purchase a product?,llm_irrelevant,off_topic,no,,,
relevance,google what is the score of the phillies game,peopleAlsoAsk,Why did Brandon Marsh score a 3-2 walk-off win over the Phillies?,llm_irrelevant,off_topic,no,,,
relevance,wednesday season 2 cast,peopleAlsoAsk,When does 'the Daily Show' Season 2 Episode 1 come out?,llm_irrelevant,off_topic,no,,,
relevance,2025 us open,peopleAlsoAsk,Where will the USBC Open Championships take place in 2025?,llm_irrelevant,off_topic,no,,,
relevance,ginny & georgia,peopleAlsoAsk,Who is Ginny Potter?,llm_irrelevant,off_topic,no,,,
relevance,pink salt weight loss recipe,peopleAlsoAsk,How do you make pink salt with ice?,llm_irrelevant,off_topic,no,,,
relevance,materialists movie,peopleAlsoAsk,Is'materialists' sexist?,llm_irrelevant,off_topic,no,,,
relevance,dna stock,peopleAlsoAsk,What is Nasdaq data link?,llm_irrelevant,off_topic,no,,,
relevance,colts daniel jones,peopleAlsoAsk,Did Anthony Richardson's injury affect Colts QB Daniel Jones?,llm_irrelevant,off_topic,no,,,
relevance,colts daniel jones,peopleAlsoAsk,Did DJ Jones hit Ashton Dulin?,llm_irrelevant,off_topic,no,,,
relevance,storybook gemini,peopleAlsoAsk,What's new in Google Gemini?,llm_irrelevant,off_topic,no,,,
relevance,aaoi stock,peopleAlsoAsk,Where can I buy AIO stock?,llm_irrelevant,off_topic,no,,,
relevance,attack on titan,peopleAlsoAsk,When did the Titanic sink?,llm_irrelevant,off_topic,no,,,
relevance,attack on titan,peopleAlsoAsk,When did the Titanic hit an iceberg?,llm_irrelevant,off_topic,no,,,
relevance,attack on titan,peopleAlsoAsk,How many people died on the Titanic?,llm_irrelevant,off_topic,no,,,
relevance,fever vs. mercury,peopleAlsoAsk,Did the Phoenix Mercury play a good game against Indiana Fever?,llm_irrelevant,off_topic,no,,,
relevance,fever vs. mercury,peopleAlsoAsk,What was the fever's worst loss in nine days?,llm_irrelevant,off_topic,no,,,
relevance,fever vs. mercury,peopleAlsoAsk,Who scored the most points in Indiana vs Mercury?,llm_irrelevant,off_topic,no,,,
relevance,fever vs. mercury,peopleAlsoAsk,Which Fever players have double digits?,llm_irrelevant,off_topic,no,,,
relevance,fever vs. mercury,peopleAlsoAsk,Are the fever ready to play?,llm_irrelevant,off_topic,no,,,
relevance,sydney sweeney,peopleAlsoAsk,Did Trent Sweeney respond to the American Eagle backlash?,llm_irrelevant,off_topic,no,,,
relevance,chief of war,peopleAlsoAsk,Which chief was a Braves legend?,llm_irrelevant,off_topic,no,,,
relevance,5g en tunisie,peopleAlsoAsk,Quel est le secteur de l'énergie en Tunisie ?,llm_irrelevant,off_topic,no,,,
relevance,2025 hungarian grand prix,peopleAlsoAsk,Why did Hungarian reopen nepliget Park?,llm_irrelevant,off_topic,no,,,
relevance,have the rangers won a stanley cup,peopleAlsoAsk,Why did the Rangers win the 1972 Stanley Cup?,llm_irrelevant,off_topic,no,,,
relevance,fc psg,peopleAlsoAsk,What is PSG for communities?,llm_irrelevant,off_topic,no,,,
relevance,soun stock,peopleAlsoAsk,Why did Sun stock surge 7% in after-hours trading?,llm_irrelevant,off_topic,no,,,
relevance,goldfinger (film) cast,peopleAlsoAsk,What are some of Jules Burke Goldfinger movies?,llm_irrelevant,off_topic,no,,,
relevance,air share price,peopleAlsoAsk,What was AAR's stock price in 2025?,llm_irrelevant,off_topic,no,,,
