error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
SA blocklist,sophie cunningham's swimsuit photo,peopleAlsoAsk,Does Sophia Cunningham have an off-day Bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,radhakrishn,gossip,radhakrishn serial,serial,illegal_activities,no,,,
SA blocklist,brandon blackstock's death,gossip,brandon blackstock's death photo,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,brandon blackstock's death,gossip,brandon blackstock's death photos,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,brandon blackstock's death,gossip,brandon blackstock's death photos,death photos,violence_trauma_or_extremism,no,,,
SA blocklist,brandon blackstock's death,alsoTrySouth,brandon blackstock's death photo,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,wednesday season 2 cast,gossip,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTrySouth,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTryEast,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,olivia plath,gossip,olivia plath bikini photos gallery,bikini,sexual_or_explicit,no,,,
SA blocklist,olivia plath,alsoTrySouth,olivia plath bikini photos gallery,bikini,sexual_or_explicit,no,,,
SA blocklist,olivia plath,alsoTryEast,olivia plath bikini photos gallery,bikini,sexual_or_explicit,no,,,
SA blocklist,lucie arnaz,gossip,lucie arnaz suicide,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude sandals,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude shoes,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude makeup,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude wedges,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude color,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude color palette,nude,sexual_or_explicit,no,,,
