error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
SA blocklist,sophie cunningham's swimsuit photo,peopleAlsoAsk,Does Sophia Cunningham have an off-day Bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,britney spears,peopleAlsoAsk,Did Britney Spears drop jaws in a tiny bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,wednesday season 2 cast,gossip,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTrySouth,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTryEast,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,norma dumont,gossip,norma dumont ufc bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,norma dumont,alsoTryEast,norma dumont ufc bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,thiago seyboth wild,gossip,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,thiago seyboth wild,alsoTryEast,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,valerie bertinelli today hot,peopleAlsoAsk,Did Valerie Bertinelli wear a Triangl bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,100 tula para kay stella full movie,gossip,100 tula para kay stella full movie download torrent,torrent,illegal_activities,no,,,
SA blocklist,100 tula para kay stella full movie,alsoTryEast,100 tula para kay stella full movie download torrent,torrent,illegal_activities,no,,,
SA blocklist,sami sheen,gossip,sami sheen breast implants,breast,sexual_or_explicit,no,,,
SA blocklist,yahoo search,alsoTrySouth,remove yahoo search,remove yahoo,platform_circumvention,no,,,
SA blocklist,ballard,peopleAlsoAsk,Was detective Ballard a 'dangerous conspiracy'?,conspiracy,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,camilla luddington,gossip,camilla luddington bikini 2016,bikini,sexual_or_explicit,no,,,
SA blocklist,camilla luddington,alsoTrySouth,camilla luddington bikini 2016,bikini,sexual_or_explicit,no,,,
SA blocklist,boyz n the hood movie,alsoTrySouth,boyz n the hood movie torrent,torrent,illegal_activities,no,,,
SA blocklist,dilwale movies download,gossip,dilwale movie download torrent,torrent,illegal_activities,no,,,
SA blocklist,the crimes of grindelwald,gossip,the crimes of grindelwald torrent,torrent,illegal_activities,no,,,
SA blocklist,execution,gossip,The Execution,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,execution today,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,execution meaning,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,execution synonym,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,Execution of Saddam Hussein,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,execution by firing squad,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,execution definition,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,gossip,execution date,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,execution today,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,florida execution,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,tennessee execution,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,execution synonym,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,byron black execution,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,execution twilight zone episode,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTrySouth,execution death penalty,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution today,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution meaning,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution of saddam hussein,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution synonym,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution by firing squad,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution definition,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution of louis xvi,execution,violence_trauma_or_extremism,no,,,
SA blocklist,execution,alsoTryEast,execution date,execution,violence_trauma_or_extremism,no,,,
death check,brandon blackstock,context,"The term ""brandon blackstock"" is likely trending because Kelly Clarkson's ex-husband, Brandon Blackstock, has died at age 48 after a cancer battle.",death_pattern,recent_death,yes,,,
death check,narvel blackstock,context,"The term ""narvel blackstock"" is likely trending because Brandon Blackstock, who is related to Narvel Blackstock, has died at age 48.",death_pattern,recent_death,yes,,,
death check,reba mcentire's son,context,"The term is likely trending because Brandon Blackstock, Reba McEntire's son and Kelly Clarkson's ex-husband, has died at age 48 after a cancer battle.",death_pattern,recent_death,yes,,,
death check,kelley mack,context,"The term ""kelley mack"" is likely trending because the actress, known for roles in ""The Walking Dead,"" has died at age 33 from complications of glioma.",death_pattern,recent_death,yes,,,
death check,brandon blackstock death,context,The term is likely trending because Brandon Blackstock has recently died after battling cancer.,death_pattern,recent_death,yes,,,
death check,brandon blackstock cancer,context,"The term is likely trending because Brandon Blackstock, Kelly Clarkson's ex-husband, died at age 48 after a secret battle with melanoma skin cancer.",death_pattern,recent_death,yes,,,
death check,brandon blackstock dead,context,"The term is likely trending because Brandon Blackstock, Kelly Clarkson’s ex-husband, has reportedly died at age 48 after a cancer battle.",death_pattern,recent_death,yes,,,
relevance,crusaders vs reds highlights,kgBrowseSports,"query is crusaders vs reds highlights, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
relevance,crusaders vs reds,kgBrowseSports,"query is crusaders vs reds, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
relevance,2025 nhl entry draft wikipedia,kgBrowseSports,"query is 2025 nhl entry draft wikipedia, but kgBrowseSports title is National Hockey League",irrelevant,off topic,no,,,
relevance,free games to play without casino,peopleAlsoAsk,Can you play online casino games for free?,llm_irrelevant,off_topic,no,,,
relevance,free games to play without casino,peopleAlsoAsk,What are the best free online casino games?,llm_irrelevant,off_topic,no,,,
relevance,free games to play without casino,peopleAlsoAsk,What types of free casino games can you play on casino Guru?,llm_irrelevant,off_topic,no,,,
relevance,free games to play without casino,peopleAlsoAsk,How to play free slots online?,llm_irrelevant,off_topic,no,,,
relevance,xyz stock,peopleAlsoAsk,What is block XYZ?,llm_irrelevant,off_topic,no,,,
relevance,brandon blackstock,peopleAlsoAsk,How many children does Narvel Blackstock have?,llm_irrelevant,off_topic,no,,,
relevance,cincinnati open,peopleAlsoAsk,When is the Cincinnati Reds' Opening Day?,llm_irrelevant,off_topic,no,,,
relevance,everwood cast,peopleAlsoAsk,Who plays Andy Dwyer in Everwood?,llm_irrelevant,off_topic,no,,,
relevance,ashes,peopleAlsoAsk,What movies did ash ash appear in?,llm_irrelevant,off_topic,no,,,
relevance,mstr stock,peopleAlsoAsk,How do I evaluate MicroStrategy Incorporated (MSI) share price?,llm_irrelevant,off_topic,no,,,
relevance,gutfeld fallon interview,peopleAlsoAsk,Did Greg Gutfeld call for a civil war?,llm_irrelevant,off_topic,no,,,
relevance,gutfeld fallon interview,peopleAlsoAsk,Is Gutfeld hosting a new game show?,llm_irrelevant,off_topic,no,,,
relevance,gutfeld fallon interview,peopleAlsoAsk,Does Gutfeld run his fingers through my hair?,llm_irrelevant,off_topic,no,,,
relevance,"brandon blackstock, kelly clar",peopleAlsoAsk,Who was Jeff Kravitz Brandon Blackstock?,llm_irrelevant,off_topic,no,,,
