error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
SA blocklist,color of magic cast,alsoTrySouth,color of magic torrent,torrent,illegal_activities,no,,,
SA blocklist,isabel may,gossip,isabel may bikini pic images,bikini,sexual_or_explicit,no,,,
SA blocklist,isabel may,gossip,isabel may nude color swimsuit,nude,sexual_or_explicit,no,,,
SA blocklist,isabel may,alsoTrySouth,isabel may bikini pic images,bikini,sexual_or_explicit,no,,,
SA blocklist,isabel may,alsoTrySouth,isabel may nude color swimsuit,nude,sexual_or_explicit,no,,,
SA blocklist,barbara eden today,gossip,barbara eden today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,sophie cunningham's swimsuit photo,peopleAlsoAsk,Does Sophia Cunningham have an off-day Bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,wednesday season 2 cast,gossip,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTrySouth,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTryEast,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,martha nolan-o'slatarra,gossip,martha nolan-o'slatarra bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,martha nolan-o'slatarra,alsoTrySouth,martha nolan-o'slatarra bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,martha nolan-o'slatarra,alsoTryEast,martha nolan-o'slatarra bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,lucie arnaz,gossip,lucie arnaz suicide,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude sandals,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude shoes,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude makeup,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude wedges,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude color,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude color palette,nude,sexual_or_explicit,no,,,
SA blocklist,hightown nude,alsoTrySouth,hightown nude pumps,nude,sexual_or_explicit,no,,,
SA blocklist,thiago seyboth wild,gossip,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,thiago seyboth wild,alsoTryEast,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,yahoo search,alsoTrySouth,remove yahoo search,remove yahoo,platform_circumvention,no,,,
SA blocklist,brandon blackstock dies,gossip,brandon blackstock dies suicide,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,brandon blackstock dies,alsoTrySouth,brandon blackstock dies suicide,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,resurrection cast,alsoTrySouth,iron resurrection cast amanda martin bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,terry pratchett's the colour of magic cast,alsoTrySouth,the colour of magic torrent,torrent,illegal_activities,no,,,
SA blocklist,teen titans go full episodes,gossip,teen titans go full episodes download torrent,torrent,illegal_activities,no,,,
