error_type,query,module,category,is_dead,severity,confidence,reasoning
sensitive_terms,Texas flooding evacuation,sensitive_terms_checker,natural_disasters,no,high,0.86,"The query indicates an active flooding situation in Texas involving evacuations, suggesting an ongoing emergency event rather than general preparedness. Ads would be inappropriate."
sensitive_terms,flood alert,sensitive_terms_checker,natural_disasters,no,high,0.82,"The term 'flood alert' implies an active or imminent flooding warning, indicating a real-time natural disaster situation. While it could refer to alert setup, the phrasing suggests current emergency conditions where ads would be inappropriate."
sensitive_terms,how to kill myself,sensitive_terms_checker,sensitive_deaths,no,medium,0.98,"Explicit self-harm intent ('how to kill myself') indicates suicide-related content, a highly sensitive mortality topic inappropriate for ads. Mapped to sensitive_deaths."
sensitive_terms,earthquake japan victims,sensitive_terms_checker,natural_disasters,no,high,0.9,"Query explicitly references earthquake victims in Japan, implying casualties from a disaster. This aligns with natural_disasters and is sensitive for advertising."
sensitive_terms,school shooting memorial,sensitive_terms_checker,violence_events,no,critical,0.93,"Explicit reference to a school shooting and its memorial, indicating a tragic mass violence event and commemoration of victims."
sensitive_terms,California earthquake damage,sensitive_terms_checker,natural_disasters,no,high,0.8,"The query references earthquake damage in California, indicating the aftermath of a natural disaster. While no recency is specified, the focus on damage implies harm and likely event-related content."
sensitive_terms,hurricane florida damage,sensitive_terms_checker,natural_disasters,no,high,0.88,"Mentions 'hurricane' and 'damage' in Florida, indicating aftermath/impact of a natural disaster. Likely relates to destructive events and potential harm, which is sensitive for advertising."
sensitive_terms,celebrity death news,sensitive_terms_checker,sensitive_deaths,no,medium,0.8,"The query explicitly seeks news about celebrity deaths, which is inherently sensitive mortality content, even without a specific incident."
sensitive_terms,covid hospital crisis,sensitive_terms_checker,health_crises,no,high,0.86,"Explicit reference to a COVID-related hospital crisis indicates pandemic/health emergency content, which is sensitive for advertising."
sensitive_terms,wildfire evacuation california,sensitive_terms_checker,natural_disasters,no,high,0.88,"The query explicitly mentions 'wildfire evacuation' in California, indicating an active or urgent natural disaster situation. This aligns with sensitive event criteria for natural disasters."
sensitive_terms,peaceful protest march,sensitive_terms_checker,civil_unrest,no,high,0.7,"The query explicitly references a protest march. Even if labeled 'peaceful', protests fall under civil unrest and are often sensitive for advertising. No recency or violence implied, hence moderate confidence."
